# 3D Systems, Inc.
# New Model
1017.4974667 -638.3847704 -564.8212922
1017.5375290 -638.3847704 -564.8037655
1017.5785295 -638.3847704 -564.7885798
1017.6202742 -638.3847704 -564.7755851
1017.6625872 -638.3847704 -564.7645805
1017.7053181 -638.3847704 -564.7553280
1017.7483453 -638.3847704 -564.7475660
1017.7915747 -638.3847704 -564.7410202
1017.8349358 -638.3847704 -564.7354109
1017.8783770 -638.3847704 -564.7304580
1017.9218599 -638.3847704 -564.7258827
1017.9653534 -638.3847704 -564.7214077
1018.0088286 -638.3847704 -564.7167570
1018.0522559 -638.3847704 -564.7116832
1018.0956275 -638.3847704 -564.7061568
1018.1389486 -638.3847704 -564.7002463
1018.1822255 -638.3847704 -564.6940211
1018.2254665 -638.3847704 -564.6875505
1018.2686808 -638.3847704 -564.6809038
1018.3118785 -638.3847704 -564.6741503
1018.3550704 -638.3847704 -564.6673590
1018.3982672 -638.3847704 -564.6605993
1018.4414796 -638.3847704 -564.6539403
1018.4847178 -638.3847704 -564.6474513
1018.5279912 -638.3847704 -564.6412016
1018.5713074 -638.3847704 -564.6352561
1018.6146646 -638.3847704 -564.6296163
1018.6580548 -638.3847704 -564.6242350
1018.7014705 -638.3847704 -564.6190642
1018.7449053 -638.3847704 -564.6140555
1018.7883532 -638.3847704 -564.6091607
1018.8318084 -638.3847704 -564.6043317
1018.8752655 -638.3847704 -564.5995203
1018.9187193 -638.3847704 -564.5946782
1018.9621642 -638.3847704 -564.5897572
1019.0055945 -638.3847704 -564.5847091
1019.0490040 -638.3847704 -564.5794854
1019.0923860 -638.3847704 -564.5740389
1019.1357381 -638.3847704 -564.5683610
1019.1790647 -638.3847704 -564.5624920
1019.2223711 -638.3847704 -564.5564755
1019.2656630 -638.3847704 -564.5503552
1019.3089464 -638.3847704 -564.5441747
1019.3522273 -638.3847704 -564.5379776
1019.3955122 -638.3847704 -564.5318075
1019.4388070 -638.3847704 -564.5257080
1019.4821178 -638.3847704 -564.5197230
1019.5254500 -638.3847704 -564.5138958
1019.5688088 -638.3847704 -564.5082703
1019.6121988 -638.3847704 -564.5028899
1019.6556231 -638.3847704 -564.4977885
1019.6990810 -638.3847704 -564.4929807
1019.7425716 -638.3847704 -564.4884789
1019.7860940 -638.3847704 -564.4842956
1019.8296469 -638.3847704 -564.4804433
1019.8732289 -638.3847704 -564.4769352
1019.9168381 -638.3847704 -564.4737842
1019.9604725 -638.3847704 -564.4710036
1020.0041296 -638.3847704 -564.4686070
1020.0478067 -638.3847704 -564.4666080
1020.0915007 -638.3847704 -564.4650206
1020.1352080 -638.3847704 -564.4638587
1020.1789237 -638.3847704 -564.4631282
1020.2226443 -638.3847704 -564.4628052
1020.2663661 -638.3847704 -564.4628593
1020.3100862 -638.3847704 -564.4632597
1020.3538023 -638.3847704 -564.4639754
1020.3975129 -638.3847704 -564.4649751
1020.4412170 -638.3847704 -564.4662275
1020.4849143 -638.3847704 -564.4677010
1020.5286049 -638.3847704 -564.4693642
1020.5722891 -638.3847704 -564.4711856
1020.6159679 -638.3847704 -564.4731336
1020.6596424 -638.3847704 -564.4751768
1020.9216303 -638.3847704 -564.4886772
1020.9652857 -638.3847704 -564.4911027
1021.0089387 -638.3847704 -564.4935711
1021.0525894 -638.3847704 -564.4960796
1021.0962379 -638.3847704 -564.4986258
1021.1398844 -638.3847704 -564.5012069
1021.1835290 -638.3847704 -564.5038203
1021.2271716 -638.3847704 -564.5064641
1021.2708121 -638.3847704 -564.5091426
1021.3144499 -638.3847704 -564.5118633
1021.3580846 -638.3847704 -564.5146337
1021.4017156 -638.3847704 -564.5174613
1021.4453424 -638.3847704 -564.5203535
1021.4889643 -638.3847704 -564.5233180
1020.7033140 -638.3847704 -564.4772879
1020.7469828 -638.3847704 -564.4794583
1020.7906488 -638.3847704 -564.4816852
1020.8343120 -638.3847704 -564.4839658
1020.8779725 -638.3847704 -564.4862974
1022.0984145 -638.3847704 -564.5793140
1022.1417208 -638.3847704 -564.5853315
1022.1849633 -638.3847704 -564.5917913
1022.2281318 -638.3847704 -564.5987271
1022.2712153 -638.3847704 -564.6061719
1022.3142050 -638.3847704 -564.6141414
1021.6633901 -638.3847704 -564.5360475
1021.7069773 -638.3847704 -564.5394853
1021.7505552 -638.3847704 -564.5430410
1021.7941217 -638.3847704 -564.5467361
1021.8376733 -638.3847704 -564.5506038
1021.8812060 -638.3847704 -564.5546774
1021.9247156 -638.3847704 -564.5589907
1021.9681971 -638.3847704 -564.5635771
1022.0116451 -638.3847704 -564.5684707
1022.0550532 -638.3847704 -564.5737050
1021.5325808 -638.3847704 -564.5263621
1021.5761910 -638.3847704 -564.5294934
1021.6197944 -638.3847704 -564.5327193
1023.1066489 -638.3847704 -564.8576489
1023.1462925 -638.3847704 -564.8760874
1023.0263717 -638.3847704 -564.8229864
1023.0666643 -638.3847704 -564.8399615
1022.9039431 -638.3847704 -564.7759348
1022.9449837 -638.3847704 -564.7910139
1022.9858020 -638.3847704 -564.8066840
1022.7380168 -638.3847704 -564.7206974
1022.7797217 -638.3847704 -564.7338265
1022.8212906 -638.3847704 -564.7473830
1022.8627046 -638.3847704 -564.7614051
1022.5699165 -638.3847704 -564.6724849
1022.6121297 -638.3847704 -564.6838732
1022.6542189 -638.3847704 -564.6957112
1022.6961820 -638.3847704 -564.7079892
1022.3998825 -638.3847704 -564.6316225
1022.4425618 -638.3847704 -564.6411150
1022.4851296 -638.3847704 -564.6510961
1022.5275822 -638.3847704 -564.6615559
1022.3570955 -638.3847704 -564.6226281
1023.9469512 -638.3847704 -565.4068453
1023.9115952 -638.3847704 -565.3811266
1023.8404613 -638.3847704 -565.3302739
1023.8760829 -638.3847704 -565.3556238
1023.7690731 -638.3847704 -565.2797780
1023.8047762 -638.3847704 -565.3050132
1023.6977915 -638.3847704 -565.2291310
1023.7333969 -638.3847704 -565.2545050
1023.6268113 -638.3847704 -565.1780502
1023.6622770 -638.3847704 -565.2036246
1023.5913374 -638.3847704 -565.1524871
1023.5201407 -638.3847704 -565.1017095
1023.5557991 -638.3847704 -565.1270140
1023.4482463 -638.3847704 -565.0519278
1023.4843075 -638.3847704 -565.0766537
1023.3752360 -638.3847704 -565.0038024
1023.4119055 -638.3847704 -565.0276153
1023.3007291 -638.3847704 -564.9580356
1023.3381914 -638.3847704 -564.9805783
1023.2244124 -638.3847704 -564.9153638
1023.2628107 -638.3847704 -564.9362700
1023.1855596 -638.3847704 -564.8953139
1024.6543735 -638.3847704 -566.1091473
1024.6937590 -638.3847704 -566.1083263
1024.7326329 -638.3847704 -566.1002239
1024.7719950 -638.3847704 -566.1040842
1024.6279456 -638.3847704 -566.0797611
1024.6395172 -638.3847704 -565.9563847
1024.6778087 -638.3847704 -565.9401752
1024.7192282 -638.3847704 -565.9379896
1024.7592747 -638.3847704 -565.9494574
1024.5313560 -638.3847704 -565.8641975
1024.4563668 -638.3847704 -565.8193506
1024.4932703 -638.3847704 -565.8427676
1024.4205227 -638.3847704 -565.7943294
1024.3514117 -638.3847704 -565.7407688
1024.3855908 -638.3847704 -565.7680389
1024.2846559 -638.3847704 -565.6842676
1024.3178212 -638.3847704 -565.7127711
1024.2517543 -638.3847704 -565.6554582
1024.1861128 -638.3847704 -565.5976541
1024.2189583 -638.3847704 -565.6265280
1024.1530657 -638.3847704 -565.5690122
1024.0858372 -638.3847704 -565.5130946
1024.1196700 -638.3847704 -565.5407844
1024.0170017 -638.3847704 -565.4591774
1024.0515969 -638.3847704 -565.4859097
1023.9821030 -638.3847704 -565.4328421
1025.1626755 -638.3847704 -566.1474861
1025.2036343 -638.3847704 -566.1613032
1025.2458595 -638.3847704 -566.1705341
1025.2887522 -638.3847704 -566.1759545
1025.3319320 -638.3847704 -566.1784023
1025.3751926 -638.3847704 -566.1786702
1025.4184449 -638.3847704 -566.1774715
1025.4616685 -638.3847704 -566.1754451
1025.5048782 -638.3847704 -566.1731776
1025.5480985 -638.3847704 -566.1712303
1025.5913438 -638.3847704 -566.1701653
1024.9698420 -638.3847704 -566.1244619
1025.0114509 -638.3847704 -566.1091983
1025.0542511 -638.3847704 -566.0975047
1025.1237843 -638.3847704 -566.1285608
1025.0961333 -638.3847704 -566.0829538
1025.3837354 -638.3847704 -565.7242548
